acc_train_epoch,acc_train_step,acc_val,epoch,loss_train_epoch,loss_train_step,loss_val,step,val_ge_mean
,0.00390625,,0,,5.620136737823486,,49,
,,0.003700000001117587,0,,,5.607690334320068,52,107.19000244140625
0.0038999998942017555,,,0,5.644376277923584,,,52,
,0.0013020833721384406,,1,,5.5492401123046875,,99,
,,0.004100000020116568,1,,,5.588290214538574,105,102.38999938964844
0.00494999997317791,,,1,5.5729217529296875,,,105,
,0.0052083334885537624,,2,,5.529224872589111,,149,
,,0.003599999938160181,2,,,5.585968971252441,158,124.43000030517578
0.0062500000931322575,,,2,5.538784503936768,,,158,
,0.009114583022892475,,3,,5.514223575592041,,199,
,,0.00419999985024333,3,,,5.585630416870117,211,100.38999938964844
0.00795000046491623,,,3,5.513291358947754,,,211,
,0.0078125,,4,,5.482114315032959,,249,
,,0.005100000184029341,4,,,5.592604637145996,264,69.06999969482422
0.010575000196695328,,,4,5.4860734939575195,,,264,
,0.015625,,5,,5.434902667999268,,299,
,,0.004699999932199717,5,,,5.604144096374512,317,43.939998626708984
0.01347499992698431,,,5,5.449705123901367,,,317,
,0.02473958395421505,,6,,5.397143840789795,,349,
,,0.004999999888241291,6,,,5.615065574645996,370,32.279998779296875
0.018300000578165054,,,6,5.406388282775879,,,370,
,0.0234375,,7,,5.334829330444336,,399,
,,0.0052999998442828655,7,,,5.627135276794434,423,9.619999885559082
0.02264999970793724,,,7,5.354257106781006,,,423,
,0.02213541604578495,,8,,5.333240985870361,,449,
,,0.004999999888241291,8,,,5.638498306274414,476,6.699999809265137
0.02877499908208847,,,8,5.298489093780518,,,476,
,0.0338541679084301,,9,,5.291055202484131,,499,
,,0.005400000140070915,9,,,5.650906562805176,529,4.559999942779541
0.03317499905824661,,,9,5.239614009857178,,,529,
,0.0416666679084301,,10,,5.155630588531494,,549,
,,0.004999999888241291,10,,,5.666233539581299,582,4.119999885559082
0.04112499952316284,,,10,5.178049564361572,,,582,
,0.0455729179084301,,11,,5.108678340911865,,599,
,,0.005400000140070915,11,,,5.686111927032471,635,1.3200000524520874
0.04712500050663948,,,11,5.1148834228515625,,,635,
,0.0703125,,12,,5.029514789581299,,649,
,,0.004999999888241291,12,,,5.711911678314209,688,1.4299999475479126
0.05412499979138374,,,12,5.046817779541016,,,688,
,0.0807291641831398,,13,,4.908609867095947,,699,
,,0.005900000222027302,13,,,5.737245559692383,741,1.409999966621399
0.06142500042915344,,,13,4.982109546661377,,,741,
,0.08203125,,14,,4.87798547744751,,749,
,,0.005499999970197678,14,,,5.767741680145264,794,0.9200000166893005
0.07032500207424164,,,14,4.913464546203613,,,794,
,0.0846354141831398,,15,,4.7712249755859375,,799,
,,0.005499999970197678,15,,,5.800849437713623,847,1.3300000429153442
0.07852499932050705,,,15,4.843989849090576,,,847,
,0.0911458358168602,,16,,4.7372260093688965,,849,
,0.0677083358168602,,16,,4.843081951141357,,899,
,,0.006000000052154064,16,,,5.842700004577637,900,1.5499999523162842
0.08624999970197678,,,16,4.7751145362854,,,900,
,0.0859375,,17,,4.746834754943848,,949,
,,0.00570000009611249,17,,,5.882240295410156,953,1.649999976158142
0.09565000236034393,,,17,4.704465866088867,,,953,
,0.09375,,18,,4.654443740844727,,999,
,,0.0052999998442828655,18,,,5.932173728942871,1006,1.350000023841858
0.10409999638795853,,,18,4.636210918426514,,,1006,
,0.1041666641831398,,19,,4.616683006286621,,1049,
,,0.005100000184029341,19,,,5.978753566741943,1059,1.3899999856948853
0.11372499912977219,,,19,4.564117908477783,,,1059,
,0.1380208283662796,,20,,4.515267372131348,,1099,
,,0.005499999970197678,20,,,6.031553268432617,1112,1.7899999618530273
0.12314999848604202,,,20,4.496774196624756,,,1112,
,0.12890625,,21,,4.408705711364746,,1149,
,,0.0052999998442828655,21,,,6.086337566375732,1165,2.140000104904175
0.13204999268054962,,,21,4.428597450256348,,,1165,
,0.1393229216337204,,22,,4.344354152679443,,1199,
,,0.00570000009611249,22,,,6.128321647644043,1218,1.6100000143051147
0.14047500491142273,,,22,4.3629560470581055,,,1218,
,0.12890625,,23,,4.381838321685791,,1249,
,,0.005499999970197678,23,,,6.197651386260986,1271,1.8200000524520874
0.14727500081062317,,,23,4.2972235679626465,,,1271,
,0.1328125,,24,,4.278903961181641,,1299,
,,0.004900000058114529,24,,,6.250111103057861,1324,1.8899999856948853
0.15927499532699585,,,24,4.2359299659729,,,1324,
,0.1393229216337204,,25,,4.1977128982543945,,1349,
,,0.0044999998062849045,25,,,6.308602809906006,1377,1.340000033378601
0.16699999570846558,,,25,4.173577308654785,,,1377,
,0.1692708283662796,,26,,4.103468418121338,,1399,
,,0.0052999998442828655,26,,,6.359194278717041,1430,1.2799999713897705
0.17499999701976776,,,26,4.1113810539245605,,,1430,
,0.1875,,27,,4.014371395111084,,1449,
,,0.005200000014156103,27,,,6.434874057769775,1483,3.4700000286102295
0.18344999849796295,,,27,4.053888320922852,,,1483,
,0.1848958283662796,,28,,3.9588377475738525,,1499,
,,0.005200000014156103,28,,,6.473443031311035,1536,1.190000057220459
0.19292500615119934,,,28,3.995526075363159,,,1536,
,0.22265625,,29,,3.816175699234009,,1549,
,,0.004399999976158142,29,,,6.542201995849609,1589,2.490000009536743
0.20184999704360962,,,29,3.9402894973754883,,,1589,
,0.23046875,,30,,3.7855985164642334,,1599,
,,0.004900000058114529,30,,,6.599397659301758,1642,1.2300000190734863
0.20787499845027924,,,30,3.8861234188079834,,,1642,
,0.24609375,,31,,3.781142234802246,,1649,
,,0.00430000014603138,31,,,6.654748439788818,1695,2.109999895095825
0.2159000039100647,,,31,3.8344244956970215,,,1695,
,0.2356770783662796,,32,,3.7680625915527344,,1699,
,,0.00419999985024333,32,,,6.724038124084473,1748,1.4600000381469727
0.22464999556541443,,,32,3.7848258018493652,,,1748,
,0.2356770783662796,,33,,3.5922536849975586,,1749,
,0.21875,,33,,3.8110015392303467,,1799,
,,0.00430000014603138,33,,,6.776294708251953,1801,2.7799999713897705
0.23055000603199005,,,33,3.7351109981536865,,,1801,
,0.23046875,,34,,3.764434576034546,,1849,
