num_traces,ge_mean,ge_median
319,4.22,1.0
320,4.16,1.0
321,4.12,1.0
322,4.18,1.0
323,4.2,1.0
324,4.24,1.0
325,4.14,1.0
326,4.12,1.0
327,4.25,1.0
328,4.19,1.0
329,4.16,1.0
330,4.04,1.0
331,3.96,1.0
332,3.88,1.0
333,3.9,1.0
334,3.92,1.0
335,3.92,1.0
336,3.88,1.0
337,3.93,1.0
338,3.91,1.0
339,3.83,1.0
340,3.86,1.0
341,3.94,1.0
342,3.79,1.0
343,3.88,1.0
344,3.8,1.0
345,3.87,1.0
346,3.89,1.0
347,3.87,1.0
348,3.99,1.0
349,3.84,1.0
350,3.73,1.0
351,3.83,1.0
352,3.81,1.0
353,3.75,1.0
354,3.77,1.0
355,3.81,1.0
356,3.79,1.0
357,3.86,1.0
358,3.83,1.0
359,3.77,1.0
360,3.67,1.0
361,3.56,1.0
362,3.59,1.0
363,3.6,1.0
364,3.53,1.0
365,3.6,1.0
366,3.62,1.0
367,3.47,1.0
368,3.41,1.0
369,3.32,1.0
370,3.43,1.0
371,3.4,1.0
372,3.45,1.0
373,3.58,1.0
374,3.56,1.0
375,3.53,1.0
376,3.39,1.0
377,3.34,1.0
378,3.29,1.0
379,3.32,1.0
380,3.37,1.0
381,3.23,1.0
382,3.23,1.0
383,3.21,1.0
384,3.27,1.0
385,3.29,1.0
386,3.33,1.0
387,3.18,1.0
388,3.16,0.5
389,3.05,1.0
390,3.1,0.5
391,3.04,0.0
392,3.06,1.0
393,3.05,1.0
394,3.12,1.0
395,3.24,1.0
396,3.26,1.0
397,3.35,1.0
398,3.25,1.0
399,3.19,1.0
400,3.28,1.0
401,3.18,1.0
402,3.25,1.0
403,3.06,1.0
404,3.05,1.0
405,3.03,1.0
406,3.15,1.0
407,3.25,1.0
408,3.15,1.0
409,3.27,1.0
410,3.28,1.0
411,3.24,1.0
412,3.23,1.0
413,3.28,1.0
414,3.1,1.0
415,3.13,1.0
416,3.08,1.0
417,3.04,1.0
418,3.08,1.0
419,3.09,1.0
420,3.09,1.0
421,3.16,1.0
