acc_train_epoch,acc_train_step,acc_val,epoch,loss_train_epoch,loss_train_step,loss_val,step,val_ge_mean
,0.0390625,,0,,5.098356246948242,,49,
,,0.06419999897480011,0,,,4.474401473999023,78,0.0
0.026599999517202377,,,0,5.1585917472839355,,,78,
,0.11328125,,1,,4.137057304382324,,99,
,0.2734375,,1,,3.2798006534576416,,149,
,,0.2919999957084656,1,,,3.1777617931365967,157,0.0
0.17362500727176666,,,1,3.810429334640503,,,157,
,0.44921875,,2,,2.5920867919921875,,199,
,,0.4542999863624573,2,,,2.3344595432281494,236,0.0
0.3964749872684479,,,2,2.696772575378418,,,236,
,0.4375,,3,,2.23095440864563,,249,
,0.544921875,,3,,1.9196319580078125,,299,
,,0.5364000201225281,3,,,1.8640755414962769,315,0.0
0.5232999920845032,,,3,2.0346641540527344,,,315,
,0.619140625,,4,,1.6282117366790771,,349,
,,0.5817000269889832,4,,,1.5740137100219727,394,0.0
0.5899500250816345,,,4,1.6449004411697388,,,394,
,0.603515625,,5,,1.486902117729187,,399,
,0.634765625,,5,,1.4084566831588745,,449,
,,0.6141999959945679,5,,,1.3983036279678345,473,0.0
0.6313999891281128,,,5,1.3973805904388428,,,473,
,0.638671875,,6,,1.3033782243728638,,499,
,0.646484375,,6,,1.2445955276489258,,549,
,,0.628600001335144,6,,,1.2786730527877808,552,0.0
0.661424994468689,,,6,1.235600471496582,,,552,
,0.68359375,,7,,1.087477684020996,,599,
,,0.6435999870300293,7,,,1.1892353296279907,631,0.0
0.6776000261306763,,,7,1.1241148710250854,,,631,
,0.67578125,,8,,1.0634762048721313,,649,
,0.71875,,8,,0.9811713099479675,,699,
,,0.6507999897003174,8,,,1.1385468244552612,710,0.0
0.6940749883651733,,,8,1.0372397899627686,,,710,
,0.681640625,,9,,1.001252293586731,,749,
,,0.6585999727249146,9,,,1.0900847911834717,789,0.0
0.7097499966621399,,,9,0.9693808555603027,,,789,
,0.71484375,,10,,0.9192224144935608,,799,
,0.70703125,,10,,0.8975504040718079,,849,
,,0.6647999882698059,10,,,1.0696624517440796,868,0.0
0.7218250036239624,,,10,0.9123693108558655,,,868,
,0.736328125,,11,,0.8999500274658203,,899,
,,0.6610000133514404,11,,,1.0481467247009277,947,0.0
0.7303500175476074,,,11,0.8707980513572693,,,947,
,0.767578125,,12,,0.781773567199707,,949,
,0.771484375,,12,,0.7892374396324158,,999,
,,0.6671000123023987,12,,,1.017851710319519,1026,0.0
0.7395750284194946,,,12,0.8316055536270142,,,1026,
,0.759765625,,13,,0.7616398334503174,,1049,
,0.748046875,,13,,0.7802094221115112,,1099,
,,0.6694999933242798,13,,,1.0044407844543457,1105,0.0
0.7494249939918518,,,13,0.7925236821174622,,,1105,
,0.744140625,,14,,0.7414305806159973,,1149,
,,0.6567999720573425,14,,,1.0254310369491577,1184,0.0
0.7585750222206116,,,14,0.7621328830718994,,,1184,
,0.798828125,,15,,0.7276020050048828,,1199,
,0.796875,,15,,0.680195152759552,,1249,
,,0.6628000140190125,15,,,1.0218738317489624,1263,0.0
0.7666249871253967,,,15,0.7347274422645569,,,1263,
,0.759765625,,16,,0.7226224541664124,,1299,
,,0.6635000109672546,16,,,1.0205901861190796,1342,0.0
0.7710250020027161,,,16,0.7096102833747864,,,1342,
,0.8125,,17,,0.6200949549674988,,1349,
,0.783203125,,17,,0.7141591310501099,,1399,
,,0.6661999821662903,17,,,0.9973762631416321,1421,0.0
0.7807750105857849,,,17,0.6810996532440186,,,1421,
,0.78125,,18,,0.658721923828125,,1449,
,0.826171875,,18,,0.5893234014511108,,1499,
,,0.6626999974250793,18,,,1.012207269668579,1500,0.0
0.7896749973297119,,,18,0.6563783884048462,,,1500,
,0.802734375,,19,,0.6577163934707642,,1549,
,,0.6567000150680542,19,,,1.0249781608581543,1579,0.0
0.7939249873161316,,,19,0.6402009725570679,,,1579,
,0.806640625,,20,,0.5749853253364563,,1599,
,0.814453125,,20,,0.5951522588729858,,1649,
,,0.6640999913215637,20,,,1.015001654624939,1658,0.0
0.8009499907493591,,,20,0.6149454116821289,,,1658,
,0.802734375,,21,,0.5486946702003479,,1699,
,,0.6521000266075134,21,,,1.0453156232833862,1737,0.0
0.8116250038146973,,,21,0.5928754210472107,,,1737,
,0.810546875,,22,,0.5744209885597229,,1749,
,0.794921875,,22,,0.5685062408447266,,1799,
,,0.6601999998092651,22,,,1.0223044157028198,1816,0.0
0.8183000087738037,,,22,0.5733028054237366,,,1816,
,0.796875,,23,,0.5755881667137146,,1849,
,,0.6491000056266785,23,,,1.0549829006195068,1895,0.0
0.8214499950408936,,,23,0.5530310273170471,,,1895,
,0.861328125,,24,,0.4937250316143036,,1899,
,0.82421875,,24,,0.5596747994422913,,1949,
,,0.659600019454956,24,,,1.0398991107940674,1974,0.0
0.8338000178337097,,,24,0.527977466583252,,,1974,
,0.841796875,,25,,0.5334556102752686,,1999,
,0.837890625,,25,,0.5054055452346802,,2049,
,,0.6556000113487244,25,,,1.0648239850997925,2053,0.0
0.8404250144958496,,,25,0.5098738074302673,,,2053,
,0.833984375,,26,,0.4948481619358063,,2099,
,,0.6517999768257141,26,,,1.0777065753936768,2132,0.0
0.8465250134468079,,,26,0.4916934669017792,,,2132,
,0.875,,27,,0.44057029485702515,,2149,
,0.873046875,,27,,0.4492001533508301,,2199,
,,0.6509000062942505,27,,,1.092721939086914,2211,0.0
0.853950023651123,,,27,0.47521737217903137,,,2211,
,0.859375,,28,,0.46819502115249634,,2249,
,,0.6442999839782715,28,,,1.1003166437149048,2290,0.0
